"County","Ethnicity: % Hispanic","Race: % White Alone","Race: % African American Alone","Race: % American Indian & Alaska Native Alone","Race: % Asian Alone","Race: % Native Hawaiian and Other Pacific Islander Alone","Race: % Multi-Racial"
"Waller","30.13","70.49","25.41","1.4","1.08","0.11","1.51"
"Ward","53.63","90.52","5.18","1.53","0.64","0.07","2.07"
"Washington","16.32","78.63","17.54","0.55","1.93","0.05","1.31"
"Webb","95.52","97.6","0.69","0.59","0.66","0.05","0.41"
"Wharton","41.41","83.65","14.03","0.73","0.53","0.05","1"
"Wheeler","25.61","92.14","3.21","1.85","0.9","0","1.9"
"Wichita","19.17","82.47","11.12","1.38","2.11","0.13","2.8"
"Wilbarger","29.33","85.28","8.28","1.67","2.45","0.09","2.23"
"Willacy","88.26","95.32","2.59","0.65","0.85","0.06","0.54"
"Williamson","24.52","81.98","7.05","0.86","7.15","0.16","2.79"
"Wilson","39.8","95.33","1.69","0.97","0.55","0.06","1.41"
"Winkler","60.79","92.88","3.25","1.9","0.7","0.04","1.23"
"Wise","19.49","94.87","1.68","1.08","0.56","0.08","1.73"
"Wood","10.07","91.42","5.41","1.08","0.59","0.07","1.44"
"Yoakum","66.57","95.05","1.41","1.76","0.57","0.04","1.17"
"Young","18.95","95.17","1.52","1.24","0.58","0.09","1.4"
"Zapata","94.44","98.55","0.38","0.48","0.28","0.01","0.3"
"Zavala","93.94","96.74","1.2","1","0.22","0.16","0.69"
